AGE,SMIN1,SMAX1,GLMIN,GLMAX,CRIMPTS,TOTCHPTS,XCRHISSR,NUMDEPEN,NOCOUNTS,DRUGMIN,MONSEX,WEAPON,NEWEDUC,ZONE,DISTRICT,DISPOSIT,CITIZEN,FISCAL_YEAR,OFFGUIDE,SENTTOT_actual,SENTTOT_predicted,residual,NEWRACE,POC
35.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,71,2,1.0,2021,7,21.0,52.966335129150885,-31.966335129150885,3.0,True
38.0,0.0,120.0,87.0,108.0,3.0,3.0,2.0,1.0,1,0,0.0,0,3.0,D,48,1,1.0,2025,7,24.0,66.74682016663714,-42.746820166637136,1.0,False
30.0,180.0,480.0,235.0,293.0,8.0,9.0,4.0,0.0,1,0,0.0,0,3.0,D,43,1,1.0,2025,7,240.0,250.24294010344,-10.242940103439992,1.0,False
27.0,60.0,240.0,210.0,240.0,0.0,0.0,1.0,0.0,1,0,0.0,0,1.0,D,83,1,1.0,2024,7,140.0,143.9635783026513,-3.963578302651314,1.0,False
21.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,65,1,1.0,2024,7,60.0,71.28815926644043,-11.28815926644043,1.0,False
22.0,180.0,360.0,360.0,360.0,1.0,1.0,1.0,0.0,1,0,0.0,0,3.0,D,56,1,1.0,2024,7,240.0,279.05887745249487,-39.05887745249487,2.0,True
37.0,0.0,240.0,97.0,121.0,1.0,1.0,1.0,1.0,1,0,0.0,0,5.0,D,37,1,1.0,2025,7,72.0,92.17534878496721,-20.175348784967213,3.0,True
22.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,8,1,1.0,2022,7,3.0,19.732063243801218,-16.732063243801218,1.0,False
52.0,0.0,60.0,12.0,18.0,1.0,1.0,1.0,2.0,1,0,0.0,0,1.0,C,36,1,1.0,2023,8,15.0,27.844523087630847,-12.844523087630847,1.0,False
30.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,74,1,1.0,2023,7,90.0,98.24102565194221,-8.24102565194221,1.0,False
54.0,0.0,240.0,87.0,108.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,22,1,1.0,2022,7,78.0,58.73619786277082,19.263802137229177,1.0,False
30.0,60.0,240.0,168.0,210.0,2.0,2.0,2.0,1.0,1,0,0.0,0,3.0,D,79,1,1.0,2022,7,78.0,110.328378988513,-32.328378988512995,1.0,False
47.0,0.0,120.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,87,1,1.0,2024,7,36.0,54.64218325442921,-18.642183254429213,1.0,False
55.0,0.0,60.0,12.0,18.0,0.0,0.0,1.0,1.0,2,0,0.0,0,3.0,C,22,1,1.0,2023,8,36.0,17.116578611269173,18.883421388730827,2.0,True
40.0,60.0,240.0,70.0,87.0,0.0,0.0,1.0,1.0,1,0,0.0,0,3.0,D,47,1,1.0,2022,7,78.0,71.5274090760524,6.472590923947607,1.0,False
57.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,96,1,1.0,2025,7,78.0,107.76278012767668,-29.762780127676677,1.0,False
43.0,60.0,240.0,78.0,97.0,0.0,0.0,1.0,3.0,1,0,0.0,0,6.0,D,12,1,1.0,2022,7,70.0,68.31769363477838,1.6823063652216206,1.0,False
27.0,0.0,240.0,135.0,168.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,40,1,1.0,2024,7,135.0,125.47018980614855,9.529810193851446,3.0,True
37.0,0.0,60.0,12.0,18.0,1.0,1.0,1.0,1.0,1,0,0.0,0,3.0,C,22,1,1.0,2023,8,6.0,9.587456018810913,-3.5874560188109132,2.0,True
34.0,0.0,60.0,0.0,6.0,0.0,0.0,1.0,4.0,1,0,1.0,0,5.0,A,41,1,1.0,2025,8,0.39,7.318594267003282,-6.928594267003282,3.0,True
37.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,2.0,1,0,0.0,0,5.0,D,66,1,1.0,2020,7,120.0,94.59330385945219,25.40669614054781,1.0,False
28.0,60.0,240.0,60.0,60.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,69,1,1.0,2024,7,72.0,64.64708279720232,7.352917202797684,1.0,False
28.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,1.0,0,3.0,D,65,1,1.0,2025,7,48.0,49.55729508013481,-1.557295080134807,1.0,False
66.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,4.0,1,0,0.0,0,5.0,D,42,1,1.0,2024,7,60.0,68.14906774037684,-8.149067740376836,2.0,True
26.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,74,1,1.0,2021,7,12.03,46.24311696835095,-34.213116968350946,1.0,False
20.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,76,1,1.0,2021,7,36.0,54.208004842642524,-18.208004842642524,1.0,False
66.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,66,1,1.0,2020,7,115.0,89.72747289651535,25.27252710348465,1.0,False
54.0,120.0,240.0,120.0,120.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,45,1,1.0,2024,7,120.0,111.97121354221234,8.02878645778766,1.0,False
23.0,60.0,240.0,188.0,235.0,0.0,0.0,1.0,0.0,3,0,0.0,0,3.0,D,18,1,1.0,2022,7,120.0,137.83219834451754,-17.832198344517536,1.0,False
32.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,2.0,1,0,0.0,0,5.0,D,51,1,1.0,2025,7,151.0,107.80099807708466,43.19900192291534,1.0,False
77.0,0.0,120.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,32,1,1.0,2024,7,18.0,14.292623667971654,3.707376332028346,1.0,False
32.0,60.0,240.0,121.0,151.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,41,1,1.0,2024,7,144.0,97.33405725128061,46.66594274871939,3.0,True
41.0,0.0,240.0,135.0,168.0,0.0,0.0,1.0,2.0,1,0,0.0,0,6.0,D,46,1,1.0,2023,7,135.0,104.63646931133924,30.36353068866076,1.0,False
35.0,60.0,240.0,240.0,240.0,10.0,10.0,5.0,0.0,1,0,0.0,0,5.0,D,87,1,1.0,2022,7,240.0,221.9414251637258,18.058574836274204,1.0,False
25.0,0.0,240.0,600.0,600.0,0.0,0.0,1.0,0.0,2,0,0.0,0,5.0,D,30,1,1.0,2025,7,240.0,424.59474975910024,-184.59474975910024,1.0,False
48.0,60.0,240.0,240.0,240.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,66,1,1.0,2025,7,130.0,164.13851520645142,-34.138515206451416,1.0,False
34.0,60.0,240.0,151.0,188.0,1.0,1.0,1.0,0.0,1,0,0.0,0,6.0,D,17,1,1.0,2021,7,108.0,119.0284464273132,-11.028446427313199,1.0,False
28.0,60.0,240.0,168.0,210.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,49,1,1.0,2024,7,120.0,133.74593249326068,-13.745932493260682,1.0,False
66.0,60.0,240.0,135.0,168.0,2.0,2.0,2.0,0.0,1,0,0.0,0,5.0,D,68,1,1.0,2024,7,135.0,105.96347603413491,29.036523965865086,1.0,False
54.0,0.0,120.0,63.0,78.0,0.0,0.0,1.0,0.0,1,0,0.0,0,1.0,D,61,1,1.0,2023,7,72.0,50.735757757635895,21.264242242364105,1.0,False
47.0,120.0,240.0,120.0,121.0,3.0,5.0,3.0,0.0,1,0,0.0,0,3.0,D,83,1,1.0,2021,7,120.0,129.08792693962323,-9.08792693962323,1.0,False
46.0,120.0,240.0,120.0,120.0,3.0,3.0,2.0,0.0,1,0,0.0,0,5.0,D,33,1,1.0,2025,7,120.0,128.07919090591574,-8.079190905915738,2.0,True
34.0,60.0,240.0,121.0,151.0,0.0,0.0,1.0,2.0,1,0,0.0,0,3.0,D,56,1,1.0,2020,7,135.0,92.34233593348002,42.657664066519985,1.0,False
28.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,3.0,1,0,0.0,0,3.0,D,9,1,1.0,2021,7,84.0,102.2853005442794,-18.285300544279394,1.0,False
33.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,31,1,1.0,2023,7,60.0,51.18748382809197,8.81251617190803,3.0,True
49.0,60.0,240.0,97.0,121.0,2.0,2.0,2.0,2.0,1,0,0.0,0,1.0,D,43,1,3.0,2020,7,70.0,89.69244402755386,-19.69244402755386,6.0,False
44.0,60.0,240.0,240.0,240.0,1.0,1.0,1.0,0.0,1,0,0.0,0,3.0,D,15,1,1.0,2025,7,144.0,174.5301706948779,-30.53017069487791,1.0,False
32.0,60.0,240.0,210.0,240.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,60,1,1.0,2024,7,216.0,157.46580828906804,58.534191710931964,1.0,False
39.0,60.0,240.0,135.0,168.0,3.0,3.0,2.0,2.0,1,0,0.0,0,1.0,D,79,1,1.0,2022,7,70.0,95.63884943176504,-25.63884943176504,3.0,True
28.0,0.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,19,1,1.0,2022,7,78.0,61.396197380325546,16.603802619674454,3.0,True
57.0,180.0,480.0,360.0,1920.0,6.0,8.0,4.0,0.0,5,0,0.0,0,5.0,D,12,3,1.0,2022,7,480.0,361.9877276251101,118.0122723748899,1.0,False
41.0,0.0,120.0,97.0,121.0,0.0,0.0,1.0,0.0,2,0,0.0,0,3.0,D,61,1,1.0,2025,7,97.0,71.1927899210252,25.807210078974805,1.0,False
32.0,60.0,240.0,108.0,135.0,1.0,1.0,1.0,0.0,1,0,0.0,0,5.0,D,66,1,1.0,2025,7,84.0,87.95524156171153,-3.9552415617115315,1.0,False
39.0,180.0,480.0,188.0,235.0,3.0,3.0,2.0,0.0,1,0,0.0,0,3.0,D,66,1,1.0,2020,7,188.0,188.1986232998672,-0.19862329986719374,1.0,False
33.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,2.0,1,0,0.0,0,3.0,D,73,1,1.0,2023,7,120.0,94.45603669676686,25.54396330323314,3.0,True
32.0,60.0,240.0,210.0,262.0,1.0,1.0,1.0,5.0,2,0,0.0,0,1.0,D,6,1,1.0,2023,7,138.0,147.87471727249192,-9.874717272491921,1.0,False
33.0,0.0,240.0,78.0,97.0,1.0,1.0,1.0,0.0,1,0,0.0,0,5.0,D,78,1,1.0,2023,7,12.03,44.19711563452162,-32.16711563452162,1.0,False
49.0,0.0,120.0,78.0,97.0,0.0,0.0,1.0,1.0,1,0,0.0,0,6.0,D,65,1,1.0,2022,7,78.0,51.41650548419005,26.583494515809953,1.0,False
60.0,0.0,240.0,78.0,97.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,47,1,1.0,2021,7,92.0,54.28530880480164,37.71469119519836,1.0,False
44.0,180.0,480.0,180.0,180.0,6.0,6.0,3.0,0.0,1,0,0.0,0,3.0,D,66,1,1.0,2025,7,192.0,193.02564054768553,-1.0256405476855264,1.0,False
50.0,120.0,9996.0,9996.0,9996.0,0.0,0.0,1.0,0.0,3,0,0.0,0,6.0,D,72,1,1.0,2023,7,288.0,351.6952217520548,-63.695221752054806,6.0,False
64.0,0.0,240.0,51.0,63.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,86,1,1.0,2022,7,51.0,45.04033415548904,5.959665844510958,6.0,False
28.0,0.0,120.0,37.0,46.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,87,1,1.0,2023,7,6.0,27.182607439620686,-21.182607439620686,1.0,False
