feature,mean_abs_shap
GLMIN,29.64363941663493
DISTRICT,18.054194323126897
GLMAX,13.128296941420604
SMIN1,8.597194782142564
NOCOUNTS,3.311039981759851
AGE,2.8813785478203835
FISCAL_YEAR,2.832832486606258
CRIMPTS,1.7038983202054834
NUMDEPEN,1.280408730721534
TOTCHPTS,1.1582512773346854
XCRHISSR,1.0652782244353907
NEWEDUC,1.014545128799512
DISPOSIT,0.49431985331518424
SMAX1,0.3063483425515465
MONSEX,0.08179394777458891
CITIZEN,0.05982475641772787
ZONE,0.022380923873705754
OFFGUIDE,0.020549658936620967
DRUGMIN,0.009944559371532737
WEAPON,0.0
